# re_q88_int im_q88_int
8 -19
18 -11
7 -8
-29 12
20 -9
10 6
-12 -4
13 -19
8 -7
7 -21
1 0
12 -25
-16 -24
-4 32
-11 -1
13 -1
1 11
-7 -9
-17 -5
-6 9
0 6
-6 -26
29 19
22 -13
-60 -24
-42 -20
-4 -9
-9 36
5 -26
5 4
47 -48
-25 0
-8 20
46 -5
14 -14
15 5
-11 16
-37 15
4 44
2 5
-27 -13
-15 -3
-2 -2
-21 2
-2 -1
2 4
1 -37
-11 18
13 -13
20 -26
7 14
-18 29
16 11
-11 4
20 -21
-24 64
20 20
0 -25
-28 -17
-7 2
1 -35
6 4
-22 -10
-25 27
4 21
-10 -60
5 1
17 -36
-37 25
6 4
27 12
-7 -24
-18 41
17 45
6 -24
20 8
-8 -15
-33 -1
-2 -28
-10 42
17 -22
4 -7
-36 11
-27 -14
20 -5
15 -13
-14 -3
0 -26
10 -10
10 -5
20 -7
6 1
-2 -7
-6 17
24 -7
-50 -3
-3 -15
1 -12
-32 -28
7 12
-15 -25
19 -17
-3 8
15 9
27 -9
9 -45
-20 9
-34 6
39 -31
-2 17
-15 -16
3 -25
-4 2
19 -4
1 5
0 -36
-16 40
10 -13
-23 -34
15 14
34 -8
-34 7
-55 -8
14 -1
57 5
-22 -17
-28 15
13 -10
