# re_q88_int im_q88_int
160 0
140 45
103 57
88 39
107 31
129 58
120 105
76 132
36 119
31 93
49 93
53 125
20 156
-31 153
-59 118
-49 89
-32 95
-44 121
-88 128
-127 95
-129 48
-104 27
-89 39
-110 54
-146 36
-159 -13
-133 -54
-97 -58
-88 -39
-110 -36
-129 -69
-111 -115
-65 -134
-30 -116
-30 -92
-49 -98
-47 -132
-7 -159
42 -148
63 -110
49 -86
35 -98
53 -123
98 -122
132 -84
128 -39
101 -24
91 -40
117 -50
151 -25
157 25
126 61
92 59
88 39
112 42
126 80
102 123
54 135
24 113
30 91
48 103
39 139
-5 160
-52 141
-65 103
-48 84
-38 100
-62 123
-109 115
-136 73
-125 31
-98 22
-94 40
-123 46
-155 14
-153 -37
-118 -66
-87 -59
-90 -40
-115 -49
-123 -91
-92 -130
-44 -135
-19 -109
-30 -92
-45 -109
-30 -145
18 -159
60 -134
67 -96
48 -83
42 -103
72 -123
118 -107
139 -62
122 -23
96 -21
98 -39
130 -39
158 -2
148 48
110 71
83 58
91 42
116 57
117 101
81 136
34 133
16 106
30 93
42 115
20 150
-30 157
-68 127
-68 90
-48 83
-48 106
-83 120
-126 98
-140 50
-118 17
-94 20
-102 38
-137 32
-159 -10
-142 -58
-102 -74
-81 -58
