# re_q88_int im_q88_int
2 -28
58 -24
-46 -24
57 10
-24 60
-10 35
42 37
-12 33
6 12
-60 53
32 24
5 0
-22 -54
37 -1
-25 -37
-6 -47
-47 1
-12 36
-38 -26
-30 34
32 3
-28 -45
-2 60
62 -13
59 -26
29 44
5 -48
-29 30
-43 -40
60 -14
2 -34
-49 44
16 -14
35 61
14 16
53 25
-59 3
4 -24
-5 -13
-56 56
18 -38
45 62
12 33
-31 -18
44 18
1 -15
1 -15
32 0
-45 -62
41 -1
23 60
37 -27
-39 32
39 -7
-40 -37
-54 52
45 -62
46 -25
48 64
-4 -30
-29 45
-63 14
19 39
28 17
43 -18
-28 33
-36 -61
18 -7
39 -16
59 -3
-45 -48
-2 -36
51 8
-10 -14
11 37
-61 13
22 46
54 30
42 13
49 -27
21 36
-33 -32
34 -54
-37 59
42 5
-56 35
42 4
-43 14
-16 -60
-23 -40
24 22
-41 9
-13 -44
-63 58
-30 -44
-10 1
-50 -46
17 28
-15 -29
29 -47
20 -58
-9 -42
47 -39
17 5
40 -6
-20 59
6 58
-39 38
64 22
-33 44
-31 56
-55 -61
-31 -49
34 -18
25 -52
-48 13
-16 -31
-10 -30
21 -27
-6 -51
11 31
43 19
29 14
-17 -60
-7 -9
-17 24
-50 -44
-38 -15
