# re_q88_int im_q88_int
-14 -62
-10 -31
-8 -9
46 31
-14 0
22 13
10 8
21 3
-17 3
0 29
-8 21
-23 -61
20 -38
3 -4
7 27
-20 -31
36 -31
-9 -33
24 -1
0 53
-12 51
-68 -29
21 -59
32 -1
3 81
-26 13
78 35
66 -26
21 46
-18 -33
26 56
16 3
42 15
54 -53
48 -53
11 12
22 -8
13 -8
11 -128
-23 -4
-31 21
-97 54
-49 -32
-42 6
25 40
-19 -46
42 -24
-21 -6
7 71
-47 -61
12 -47
-51 -16
-15 44
-86 5
-39 -25
-50 3
65 16
12 30
26 6
-14 -31
47 -7
-11 -12
-15 46
-10 -23
-5 18
-2 -20
-16 41
41 -19
-9 -28
43 -15
2 35
36 21
-57 -55
-9 -15
-7 56
54 62
38 -12
42 -44
2 15
-22 7
-22 23
-28 -4
-22 29
-16 -14
-8 -19
-44 -28
-43 6
-11 16
19 20
2 6
-23 11
-52 -28
-63 -16
-1 -7
61 66
67 34
-1 9
30 -40
52 -19
77 9
1 -4
20 -15
-1 -63
39 -29
-17 -56
5 -19
-40 -9
-9 9
-46 -18
17 -24
-1 21
22 -3
-32 3
20 -8
-4 -6
14 -49
-8 -12
27 57
3 1
9 -39
17 -18
0 68
-25 -15
-14 -46
10 -33
0 36
-1 -2
28 -25
