# re_q88_int im_q88_int
64 0
3 64
-64 6
-9 -63
63 -12
16 62
-61 19
-22 -60
59 -24
27 58
-56 30
-33 -55
53 -36
38 51
-49 41
-43 -47
45 -45
47 43
-41 49
-51 -38
36 -53
55 33
-30 56
-58 -27
24 -59
60 22
-19 61
-62 -16
12 -63
63 9
-6 64
-64 -3
0 -64
64 -3
6 64
-63 9
-12 -63
62 -16
19 61
-60 22
-24 -59
58 -27
30 56
-55 33
-36 -53
51 -38
41 49
-47 43
-45 -45
43 -47
49 41
-38 51
-53 -36
33 -55
56 30
-27 58
-59 -24
22 -60
61 19
-16 62
-63 -12
9 -63
64 6
-3 64
-64 0
-3 -64
64 -6
9 63
-63 12
-16 -62
61 -19
22 60
-59 24
-27 -58
56 -30
33 55
-53 36
-38 -51
49 -41
43 47
-45 45
-47 -43
41 -49
51 38
-36 53
-55 -33
30 -56
58 27
-24 59
-60 -22
19 -61
62 16
-12 63
-63 -9
6 -64
64 3
0 64
-64 3
-6 -64
63 -9
12 63
-62 16
-19 -61
60 -22
24 59
-58 27
-30 -56
55 -33
36 53
-51 38
-41 -49
47 -43
45 45
-43 47
-49 -41
38 -51
53 36
-33 55
-56 -30
27 -58
59 24
-22 60
-61 -19
16 -62
63 12
-9 63
-64 -6
3 -64
