# k re_q88 im_q88
0 -0.621094 -1.585938
1 1.039062 -0.574219
2 -0.144531 0.335938
3 -0.093750 0.179688
4 0.304688 -0.468750
5 -0.128906 -0.625000
6 -0.925781 -1.460938
7 0.195312 2.605469
8 0.617188 -0.714844
9 -0.281250 -1.312500
10 0.441406 0.593750
11 0.605469 1.039062
12 -0.472656 -0.175781
13 0.691406 -1.253906
14 -0.304688 0.093750
15 0.398438 -0.457031
16 -0.480469 0.082031
17 0.183594 0.121094
18 0.191406 0.332031
19 0.472656 -0.500000
20 -1.500000 -0.480469
21 0.371094 0.371094
22 -1.406250 -0.445312
23 0.164062 -0.281250
24 0.058594 -1.390625
25 0.230469 -0.625000
26 0.523438 -1.718750
27 0.277344 -0.136719
28 -0.152344 0.109375
29 2.164062 -0.574219
30 0.941406 0.554688
31 0.937500 -1.464844
32 -0.253906 -0.070312
33 1.855469 1.578125
34 1.246094 0.906250
35 -0.113281 -0.011719
36 -0.984375 -0.210938
37 -1.910156 -0.609375
38 -0.035156 -0.289062
39 0.046875 0.824219
40 -0.093750 0.191406
41 0.445312 -0.031250
42 -1.421875 1.003906
43 -1.183594 -1.531250
44 0.425781 0.167969
45 -0.992188 -0.703125
46 -0.316406 0.855469
47 -0.273438 0.136719
48 -1.230469 -0.171875
49 0.089844 1.144531
50 -0.125000 -0.531250
51 0.671875 -0.640625
52 1.570312 -0.148438
53 0.582031 1.105469
54 0.265625 1.601562
55 -0.175781 -0.519531
56 -1.757812 -1.054688
57 1.398438 -0.003906
58 -0.371094 1.527344
59 1.152344 -1.027344
60 -0.246094 -0.398438
61 0.953125 -0.191406
62 -0.332031 0.199219
63 -0.265625 0.613281
64 0.324219 -0.703125
65 -0.687500 0.175781
66 -0.175781 0.976562
67 0.078125 -0.828125
68 0.437500 0.757812
69 0.230469 -1.718750
70 0.550781 0.890625
71 -0.187500 0.300781
72 2.171875 0.417969
73 -1.476562 0.382812
74 -1.089844 -1.085938
75 -1.605469 0.625000
76 -0.738281 0.667969
77 -1.058594 -0.183594
78 0.398438 -1.304688
79 -1.359375 -1.246094
80 0.480469 1.519531
81 -0.769531 -0.285156
82 1.050781 -0.144531
83 -0.238281 -1.617188
84 0.187500 1.308594
85 -0.667969 0.121094
86 -1.132812 -0.867188
87 -2.679688 1.132812
88 -0.253906 0.890625
89 -0.707031 -0.382812
90 -0.054688 -3.281250
91 0.941406 0.613281
92 -0.011719 -1.101562
93 0.390625 0.824219
94 1.535156 -1.226562
95 0.570312 -1.675781
96 1.691406 0.796875
97 0.058594 -0.226562
98 0.339844 1.531250
99 0.363281 -1.058594
100 -0.382812 1.406250
101 2.121094 -0.921875
102 2.066406 1.046875
103 -1.382812 0.347656
104 0.851562 1.542969
105 0.375000 0.710938
106 0.382812 -2.214844
107 -1.238281 -0.164062
108 -0.574219 1.199219
109 0.156250 0.796875
110 0.363281 0.527344
111 -0.031250 -1.089844
112 0.777344 -0.648438
113 -0.675781 -0.871094
114 0.648438 1.000000
115 -0.390625 -0.492188
116 0.617188 -0.820312
117 -0.347656 -1.066406
118 -0.507812 -0.039062
119 0.207031 1.058594
120 -0.531250 -0.039062
121 0.671875 0.074219
122 -0.003906 0.019531
123 0.613281 0.550781
124 -0.105469 0.000000
125 0.570312 0.378906
126 0.277344 0.238281
127 -0.351562 -0.910156
