# k re_q88 im_q88
0 -0.867188 3.617188
1 -1.562500 5.839844
2 -4.671875 15.445312
3 7.792969 -22.957031
4 2.457031 -6.500000
5 1.550781 -3.738281
6 1.160156 -2.593750
7 0.988281 -1.941406
8 0.882812 -1.597656
9 0.792969 -1.324219
10 0.738281 -1.140625
11 0.703125 -0.960938
12 0.652344 -0.863281
13 0.628906 -0.718750
14 0.617188 -0.660156
15 0.613281 -0.589844
16 0.621094 -0.484375
17 0.652344 -0.398438
18 0.660156 -0.359375
19 0.710938 -0.296875
20 0.789062 -0.191406
21 0.964844 0.007812
22 1.414062 0.343750
23 6.437500 4.015625
24 -1.148438 -1.460938
25 -0.289062 -0.820312
26 -0.070312 -0.632812
27 0.050781 -0.503906
28 0.082031 -0.457031
29 0.144531 -0.398438
30 0.156250 -0.378906
31 0.164062 -0.351562
32 0.195312 -0.296875
33 0.183594 -0.289062
34 0.203125 -0.273438
35 0.242188 -0.234375
36 0.218750 -0.207031
37 0.242188 -0.210938
38 0.226562 -0.207031
39 0.250000 -0.179688
40 0.222656 -0.179688
41 0.210938 -0.156250
42 0.234375 -0.160156
43 0.257812 -0.117188
44 0.250000 -0.140625
45 0.210938 -0.113281
46 0.242188 -0.089844
47 0.269531 -0.113281
48 0.265625 -0.101562
49 0.250000 -0.093750
50 0.261719 -0.085938
51 0.242188 -0.058594
52 0.234375 -0.066406
53 0.257812 -0.054688
54 0.234375 -0.062500
55 0.253906 -0.058594
56 0.242188 -0.035156
57 0.250000 -0.042969
58 0.226562 -0.035156
59 0.230469 0.003906
60 0.238281 -0.015625
61 0.238281 0.007812
62 0.242188 -0.011719
63 0.257812 0.000000
64 0.218750 0.015625
65 0.234375 0.019531
66 0.250000 -0.007812
67 0.246094 0.035156
68 0.246094 0.015625
69 0.207031 0.019531
70 0.222656 0.070312
71 0.222656 0.035156
72 0.218750 0.074219
73 0.222656 0.082031
74 0.214844 0.078125
75 0.210938 0.093750
76 0.222656 0.089844
77 0.222656 0.085938
78 0.210938 0.105469
79 0.199219 0.121094
80 0.191406 0.125000
81 0.230469 0.125000
82 0.207031 0.101562
83 0.218750 0.140625
84 0.210938 0.144531
85 0.222656 0.156250
86 0.203125 0.148438
87 0.210938 0.156250
88 0.210938 0.164062
89 0.210938 0.203125
90 0.203125 0.187500
91 0.214844 0.191406
92 0.183594 0.214844
93 0.160156 0.234375
94 0.203125 0.230469
95 0.195312 0.226562
96 0.203125 0.242188
97 0.160156 0.242188
98 0.187500 0.289062
99 0.171875 0.281250
100 0.187500 0.300781
101 0.156250 0.335938
102 0.187500 0.308594
103 0.164062 0.351562
104 0.175781 0.343750
105 0.164062 0.367188
106 0.156250 0.394531
107 0.140625 0.406250
108 0.140625 0.414062
109 0.125000 0.433594
110 0.117188 0.472656
111 0.121094 0.472656
112 0.109375 0.539062
113 0.132812 0.554688
114 0.121094 0.578125
115 0.125000 0.589844
116 0.062500 0.691406
117 0.085938 0.703125
118 0.039062 0.773438
119 0.003906 0.839844
120 0.007812 0.910156
121 -0.031250 1.003906
122 -0.046875 1.121094
123 -0.121094 1.261719
124 -0.175781 1.445312
125 -0.230469 1.687500
126 -0.351562 2.050781
127 -0.539062 2.640625
