# k re_q88 im_q88
0 0.750000 -0.902344
1 -0.125000 -2.832031
2 1.968750 0.500000
3 -0.671875 2.863281
4 2.765625 -2.566406
5 10.429688 0.460938
6 -0.566406 3.558594
7 -2.828125 0.679688
8 -5.433594 -4.847656
9 1.058594 -8.546875
10 1.246094 -3.949219
11 4.667969 -1.046875
12 -3.222656 -0.726562
13 -0.519531 -4.671875
14 -4.843750 -3.632812
15 -1.132812 3.054688
16 4.664062 -3.941406
17 1.273438 -1.281250
18 2.652344 0.078125
19 -2.371094 -1.605469
20 3.746094 1.496094
21 -2.007812 2.433594
22 -3.917969 1.019531
23 -1.039062 -7.625000
24 -3.433594 0.050781
25 0.593750 -5.058594
26 4.636719 2.234375
27 1.742188 -3.710938
28 -0.183594 3.972656
29 -3.765625 -0.996094
30 -1.605469 1.964844
31 2.757812 -1.328125
32 2.308594 -5.023438
33 -0.804688 1.644531
34 6.050781 2.175781
35 -2.464844 0.859375
36 2.089844 -1.093750
37 0.343750 4.609375
38 1.074219 1.535156
39 2.054688 -2.523438
40 4.363281 5.167969
41 0.351562 -0.347656
42 -1.625000 -2.195312
43 0.707031 2.726562
44 1.796875 -3.144531
45 -0.437500 -5.246094
46 -4.972656 4.011719
47 5.847656 4.191406
48 -0.078125 -3.019531
49 -1.933594 -3.339844
50 5.394531 -2.085938
51 -6.921875 1.957031
52 0.687500 -6.355469
53 -2.250000 -3.492188
54 0.410156 -3.285156
55 -4.429688 -1.527344
56 -4.789062 -4.511719
57 -3.839844 2.277344
58 5.242188 -0.843750
59 -2.152344 5.531250
60 -2.515625 -4.054688
61 0.367188 -1.390625
62 0.101562 6.265625
63 -0.507812 -5.796875
64 3.148438 -5.824219
65 -1.718750 4.714844
66 -2.484375 3.367188
67 -1.062500 0.964844
68 -2.773438 -2.941406
69 -3.023438 -1.101562
70 1.941406 1.503906
71 -0.015625 0.304688
72 -7.019531 1.191406
73 2.792969 -4.398438
74 -6.316406 -0.144531
75 0.449219 1.968750
76 5.769531 2.492188
77 4.214844 3.570312
78 1.070312 -1.945312
79 0.117188 5.500000
80 -0.304688 -3.011719
81 -6.875000 1.109375
82 4.214844 1.421875
83 2.402344 -1.160156
84 4.347656 0.082031
85 2.351562 -4.449219
86 -6.371094 2.082031
87 3.132812 4.734375
88 -1.949219 4.035156
89 3.257812 1.441406
90 4.144531 -1.945312
91 2.726562 1.546875
92 0.285156 0.019531
93 3.406250 0.027344
94 0.113281 2.925781
95 -3.234375 1.343750
96 -2.128906 1.250000
97 -1.414062 -0.496094
98 0.027344 0.457031
99 -7.003906 2.921875
100 0.230469 -0.539062
101 1.156250 1.562500
102 3.035156 -3.378906
103 1.835938 1.523438
104 -1.019531 -2.074219
105 1.015625 5.980469
106 5.554688 -2.414062
107 1.566406 -0.039062
108 2.984375 -0.339844
109 -1.023438 -0.683594
110 5.886719 -0.777344
111 -3.988281 1.441406
112 -0.765625 0.535156
113 2.160156 2.542969
114 -2.636719 -2.195312
115 1.093750 1.636719
116 1.718750 9.074219
117 -0.687500 -4.023438
118 -0.011719 -3.722656
119 -3.304688 -6.722656
120 0.125000 -1.386719
121 -6.105469 2.277344
122 0.304688 1.164062
123 -1.394531 0.835938
124 -3.664062 0.812500
125 -0.742188 -1.421875
126 0.031250 -0.125000
127 -4.828125 0.625000
