# k re_q88 im_q88
0 1.089844 -2.710938
1 2.632812 -1.628906
2 1.062500 -1.089844
3 -4.214844 1.726562
4 2.882812 -1.324219
5 1.410156 0.910156
6 -1.746094 -0.589844
7 1.859375 -2.687500
8 1.175781 -1.031250
9 0.933594 -3.082031
10 0.089844 0.031250
11 1.738281 -3.589844
12 -2.382812 -3.527344
13 -0.496094 4.703125
14 -1.539062 -0.164062
15 1.937500 -0.183594
16 0.140625 1.660156
17 -0.960938 -1.347656
18 -2.515625 -0.722656
19 -0.851562 1.363281
20 0.027344 0.910156
21 -0.867188 -3.722656
22 4.175781 2.695312
23 3.273438 -1.925781
24 -8.726562 -3.398438
25 -6.093750 -2.878906
26 -0.527344 -1.218750
27 -1.332031 5.246094
28 0.687500 -3.773438
29 0.695312 0.460938
30 6.832031 -6.929688
31 -3.558594 -0.031250
32 -1.214844 2.906250
33 6.558594 -0.781250
34 2.078125 -2.035156
35 2.152344 0.718750
36 -1.652344 2.250000
37 -5.316406 2.160156
38 0.570312 6.390625
39 0.335938 0.656250
40 0.023438 -0.011719
41 0.019531 -0.003906
42 -0.023438 -0.003906
43 -0.027344 0.019531
44 -0.015625 0.011719
45 -0.019531 0.000000
46 -0.015625 0.046875
47 0.015625 0.003906
48 -0.015625 0.042969
49 -0.039062 -0.003906
50 0.042969 -0.003906
51 0.015625 -0.015625
52 -0.011719 -0.058594
53 -0.027344 -0.007812
54 0.023438 0.027344
55 -0.035156 0.015625
56 2.929688 2.843750
57 -0.089844 -3.679688
58 -4.039062 -2.503906
59 -1.011719 0.253906
60 0.117188 -5.007812
61 0.871094 0.554688
62 -3.140625 -1.488281
63 -3.585938 3.984375
64 0.636719 3.085938
65 -1.484375 -8.722656
66 0.773438 0.121094
67 2.441406 -5.164062
68 -5.328125 3.582031
69 0.808594 0.527344
70 3.957031 1.808594
71 -0.953125 -3.390625
72 -2.613281 5.859375
73 0.035156 -0.011719
74 0.011719 -0.023438
75 0.058594 -0.019531
76 -0.015625 0.011719
77 -0.003906 -0.039062
78 0.039062 -0.023438
79 0.000000 0.003906
80 0.007812 -0.003906
81 -0.023438 -0.011719
82 -0.007812 0.019531
83 -0.015625 -0.003906
84 -0.003906 0.003906
85 -0.023438 0.019531
86 0.019531 -0.039062
87 -0.015625 0.027344
88 0.000000 0.015625
89 1.523438 -0.660156
90 2.855469 -1.078125
91 0.792969 0.183594
92 -0.289062 -0.929688
93 -0.851562 2.437500
94 3.363281 -1.031250
95 -7.277344 -0.453125
96 -0.433594 -2.125000
97 0.089844 -1.679688
98 -4.601562 -4.074219
99 1.074219 1.656250
100 -2.089844 -3.695312
101 2.832031 -2.394531
102 -0.421875 1.171875
103 2.132812 1.281250
104 3.929688 -1.285156
105 1.246094 -6.496094
106 -2.828125 1.324219
107 -4.894531 0.855469
108 5.648438 -4.527344
109 -0.371094 2.492188
110 -2.250000 -2.265625
111 0.500000 -3.621094
112 -0.617188 0.332031
113 2.757812 -0.574219
114 0.074219 0.660156
115 0.023438 -5.156250
116 -2.292969 5.832031
117 1.496094 -1.960938
118 -3.359375 -4.964844
119 2.121094 1.992188
120 4.937500 -1.117188
121 -4.855469 1.062500
122 -7.945312 -1.089844
123 1.988281 -0.199219
124 8.218750 0.804688
125 -3.261719 -2.390625
126 -4.007812 2.167969
127 1.937500 -1.546875
